1042317312,1042350079,PL
1042350080,1042415615,RU
1042415616,1042546687,FR
1042546688,1042677759,ES
1042677760,1042743295,GR
1042743296,1042808831,FR
1042808832,1042817023,DE
1042817024,1042825215,IE
1042825216,1042833407,CZ
1042833408,1042841599,EU
1042841600,1042874367,AT
1042874368,1042939903,NL
1042939904,1043070975,ES
1043070976,1043079167,CZ
1043079168,1043087359,ES
1043087360,1043095551,UK
1043095552,1043103743,BG
1043103744,1043120127,DK
1043120128,1043136511,FI
1043136512,1043202047,NL
1043202048,1043333119,AT
1043333120,1043341311,CH
1043341312,1043349503,IT
1043349504,1043357695,DE
1043357696,1043365887,CH
1043365888,1043398655,PT
1043398656,1043464191,UK
1043464192,1043472383,NL
1043472384,1043480575,DE
1043480576,1043488767,CH
1043488768,1043496959,DE
1043496960,1043505151,FR
1043505152,1043513343,NO
1043513344,1043529727,DE
1043529728,1043595263,EU
1043595264,1043857407,DE
1043857408,1043890175,UK
1043890176,1043922943,IL
1043922944,1043988479,ES
1043988480,1044119551,NL
1044119552,1044152319,UK
1044152320,1044185087,IR
1044185088,1044193279,RU
1044193280,1044201471,DE
1044201472,1044217855,FI
1044217856,1044226047,DK
1044226048,1044234239,OM
1044250624,1044283391,EU
1044283392,1044316159,FR
1044316160,1044332543,NO
1044332544,1044348927,RU
1044348928,1044365311,LV
1044365312,1044381695,SE
1044381696,1044389887,RU
1044389888,1044398079,UK
1044398080,1044414463,UA
1044414464,1044447231,UK
1044447232,1044455423,SE
1044455424,1044463615,EE
1044463616,1044479999,SE
1044480000,1044488191,CH
1044488192,1044496383,SK
1044496384,1044512767,EE
1044512768,1044545535,DK
1044545536,1044578303,NO
1044578304,1044643839,UK
1044643840,1044652031,DE
1044660224,1044668415,GR
1044668416,1044676607,JO
1044676608,1044684799,GR
1044684800,1044692991,HU
1044692992,1044701183,TR
1044709376,1044717567,RU
1044717568,1044742143,UK
1044742144,1044750335,KW
1044750336,1044758527,NL
1044758528,1044774911,PL
1044774912,1044840447,NO
1044840448,1044905983,FI
1044905984,1044930559,DE
1044930560,1044955135,UK
1044955136,1044963327,NL
1044963328,1044971519,FI
1044971520,1044979711,FR
1044979712,1044987903,FI
1044987904,1045004287,BG
1045004288,1045020671,UK
1045020672,1045037055,NO
1045037056,1045135359,GR
1045135360,1045168127,DE
1045168128,1045233663,RU
1045233664,1045241855,UK
1045241856,1045250047,IT
1045250048,1045266431,CZ
1045266432,1045274623,HU
1045274624,1045282815,IE
1045282816,1045299199,HU
1045299200,1045307391,EU
1045307392,1045315583,UK
1045315584,1045319679,DE
1045323776,1045364735,FI
1045364736,1045430271,DK
1045430272,1045446655,DE
1045446656,1045454847,CZ
1045454848,1045463039,DE
1045463040,1045471231,FI
1045471232,1045479423,UA
1045479424,1045487615,SE
1045487616,1045495807,LT
1045495808,1045692415,ES
1045692416,1045700607,LV
1045700608,1045708799,DE
1045708800,1045716991,LB
1045716992,1045725183,RU
1045725184,1045733375,CZ
1045733376,1045757951,UK
1045757952,1045790719,LV
1045790720,1045798911,TR
1045798912,1045807103,IT
1045807104,1045823487,ES
1045823488,1045889023,IT
1045889024,1045921791,ES
1045921792,1045954559,PL
1045987328,1046020095,SE
1046020096,1046028287,AM
1046028288,1046036479,NO
1046036480,1046052863,PL
